Configuration;Best way;Its distance;Average way;Dispersion
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-1;5-13-15-4-10-7-14-11-2-12-6-3-9-1-8-5;92.97;100.227;[92.97-106.36]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4-15-12-6-3-14-1-10-2-9-5-13-11-8-7-4;89.52;100.99;[89.52-110.38]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-3;7-6-2-3-4-14-10-12-8-11-5-9-13-1-15-7;89.72;98.565;[89.72-108.75]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-1;5-11-14-10-7-12-2-3-9-15-4-6-8-1-13-5;81.66;91.06;[81.66-101.66]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-2;9-2-12-15-8-1-11-13-5-14-10-4-7-6-3-9;67.87;81.53;[67.87-104.66]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-3;11-15-2-12-7-14-10-13-8-1-4-6-3-9-5-11;88.85;95.6825;[88.85-104.69]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-1;15-2-6-3-9-5-11-1-13-12-7-10-8-14-4-15;67.51;90.415;[67.51-105.79]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-2;10-4-14-8-1-5-11-13-9-12-7-15-2-6-3-10;70.54;81.39;[70.54-100.37]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1-8-14-15-7-4-10-6-12-2-3-9-13-5-11-1;64.97;90.46;[64.97-107.36]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP10 PC-1;6-3-9-11-10-13-5-4-12-2-7-15-14-1-8-6;95.54;104.012;[95.54-111.07]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP10 PC-2;12-8-14-10-4-7-15-3-2-13-5-9-6-11-1-12;96.9;101.965;[96.9-108.67]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP10 PC-3;3-2-4-15-7-10-11-13-8-1-12-14-5-9-6-3;91.43;97.3625;[91.43-104.08]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP50 PC-1;1-13-5-12-14-8-11-7-10-4-15-2-9-6-3-1;98.09;100.483;[98.09-103.59]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP50 PC-2;2-4-10-8-9-13-11-7-14-1-5-3-6-12-15-2;95.35;108.822;[95.35-120.74]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP50 PC-3;6-12-14-10-4-7-15-2-9-5-13-11-1-8-3-6;67.79;93.555;[67.79-110.1]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP100 PC-1;4-8-10-14-13-11-5-12-15-2-6-3-1-9-7-4;97.41;104.697;[97.41-114.44]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP100 PC-2;10-8-14-1-4-15-2-6-9-3-12-7-5-11-13-10;93.45;99.3525;[93.45-105.04]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP100 PC-3;8-10-13-5-11-3-6-9-12-2-7-15-4-14-1-8;81.7;93.7225;[81.7-108.46]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-1;8-13-5-11-1-6-3-9-14-10-2-12-7-15-4-8;73.7;85.655;[73.7-101.42]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1-5-12-2-6-9-3-11-13-8-10-7-4-15-14-1;86.09;97.0725;[86.09-107.64]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-3;6-9-3-13-11-1-8-2-14-10-4-12-15-7-5-6;88.46;93.7475;[88.46-98.23]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-1;6-9-5-3-1-11-13-12-14-15-4-8-10-7-2-6;92.34;98.475;[92.34-104.43]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3-6-4-12-7-15-2-14-10-11-5-1-8-13-9-3;76.79;89.42;[76.79-96.61]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-3;7-14-11-13-5-1-8-10-12-3-6-9-2-15-4-7;78.43;89.1925;[78.43-98.75]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-1;5-13-1-11-9-7-4-12-14-15-10-8-2-6-3-5;84.17;95.0175;[84.17-102.6]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-2;14-10-12-7-4-2-6-5-1-11-13-9-3-15-8-14;78.53;85.3675;[78.53-91.74]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4-10-14-8-5-1-13-11-6-3-9-7-12-2-15-4;73.71;85.065;[73.71-94.09]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1-5-11-12-15-14-10-2-6-7-4-8-3-9-13-1;89.41;100.4;[89.41-116.27]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2-14-8-4-15-10-11-5-9-13-1-7-12-3-6-2;87.12;96.51;[87.12-104.29]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-3;13-11-1-10-15-2-14-8-12-7-4-6-3-9-5-13;73.81;93.325;[73.81-110.35]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3-6-4-12-15-7-2-10-14-8-1-13-5-11-9-3;63.01;78.0975;[63.01-89.08]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-2;11-13-5-12-10-14-15-7-2-4-9-6-3-8-1-11;82.77;93.155;[82.77-103.25]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1-11-8-14-10-7-12-6-9-3-13-5-4-15-2-1;86.15;94.0475;[86.15-108.46]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-1;6-4-7-12-15-2-5-1-14-10-8-13-11-9-3-6;80.75;93.0025;[80.75-103.98]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-2;6-15-14-10-4-7-12-8-2-9-11-13-5-1-3-6;85.67;94.7625;[85.67-103.39]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-3;14-10-7-15-4-9-11-5-3-2-12-6-13-1-8-14;84.39;91.4275;[84.39-96.55]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP10 PC-1;1-13-11-9-3-6-14-10-12-2-5-4-7-15-8-1;85.02;100.887;[85.02-108.56]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP10 PC-2;14-6-9-13-5-11-1-8-3-4-12-2-7-15-10-14;78.31;95.1775;[78.31-105.8]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP10 PC-3;7-12-2-10-4-5-9-6-3-8-1-13-11-14-15-7;83.57;98.6475;[83.57-111.82]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP50 PC-1;12-7-2-3-9-5-11-13-6-4-10-14-15-8-1-12;82.03;97.3675;[82.03-106.96]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP50 PC-2;15-10-7-12-3-2-6-9-14-8-1-13-5-11-4-15;81.2;96.9125;[81.2-106.41]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP50 PC-3;3-6-7-4-5-1-11-13-9-8-14-10-15-12-2-3;77.78;90.5825;[77.78-106.72]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP100 PC-1;14-8-11-5-13-1-9-6-10-4-2-3-12-15-7-14;82.26;88.6625;[82.26-91.48]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP100 PC-2;10-5-9-6-3-2-15-7-1-11-13-8-14-12-4-10;83.5;94.64;[83.5-103.93]
CR-0 PN-10 G-10 PP-10 SM-1 MAX_STEP100 PC-3;1-13-5-8-14-2-6-3-9-7-10-12-15-4-11-1;81.67;91.89;[81.67-102.62]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP10 PC-1;3-5-13-11-8-1-9-6-15-10-12-7-4-14-2-3;81.42;87.0525;[81.42-91.57]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP10 PC-2;8-9-3-4-14-15-12-7-10-2-6-13-11-5-1-8;82.22;92.7075;[82.22-101.89]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP10 PC-3;15-9-5-13-11-1-8-7-2-12-10-14-4-3-6-15;77.78;86.46;[77.78-96.03]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP50 PC-1;13-5-9-11-3-2-6-12-14-7-4-15-10-8-1-13;77.36;82.885;[77.36-87.74]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP50 PC-2;1-15-7-12-2-6-3-5-13-11-9-4-10-14-8-1;70.64;79.165;[70.64-84.48]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP50 PC-3;12-7-13-8-15-4-14-10-11-1-5-9-3-6-2-12;77.97;88.365;[77.97-95.99]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP100 PC-1;3-6-1-11-5-13-8-9-15-7-12-4-14-10-2-3;82.62;89.785;[82.62-98.13]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP100 PC-2;6-1-8-14-15-4-10-7-12-2-13-11-5-9-3-6;70.44;81.325;[70.44-88.33]
CR-0 PN-10 G-10 PP-10 SM-2 B-2 MAX_STEP100 PC-3;12-7-4-10-14-8-15-11-1-9-3-13-5-6-2-12;83.23;90.04;[83.23-94.59]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP10 PC-1;8-1-11-5-9-3-6-2-13-10-7-12-14-4-15-8;77.8;86.57;[77.8-93.57]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP10 PC-2;6-4-14-10-8-1-9-13-11-5-12-15-7-2-3-6;76.75;87.19;[76.75-95.55]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP10 PC-3;1-13-5-11-10-4-14-15-7-12-2-6-3-9-8-1;63.34;79.265;[63.34-89.92]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP50 PC-1;11-13-5-9-3-6-12-14-4-7-2-10-15-8-1-11;65.53;79.435;[65.53-88.39]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP50 PC-2;5-13-11-1-2-10-14-4-9-3-6-12-7-15-8-5;79.28;88.8925;[79.28-96.34]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP50 PC-3;1-11-10-4-3-6-12-7-15-14-2-9-5-13-8-1;82.78;86.5325;[82.78-90.18]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP100 PC-1;7-10-8-1-11-13-5-3-12-6-9-2-14-4-15-7;78.18;87.2725;[78.18-94.67]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP100 PC-2;3-15-10-7-2-12-4-14-11-13-5-9-8-1-6-3;84.76;95.22;[84.76-106.94]
CR-0 PN-10 G-10 PP-10 SM-2 B-4 MAX_STEP100 PC-3;7-4-10-14-13-11-8-1-9-5-3-6-2-12-15-7;69.38;75.985;[69.38-82.35]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP10 PC-1;5-13-7-8-14-11-1-10-4-15-12-2-6-3-9-5;79.08;100.465;[79.08-113.69]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP10 PC-2;3-6-2-12-10-7-4-1-11-8-13-14-15-5-9-3;89.96;101.602;[89.96-113.48]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP10 PC-3;15-12-14-13-1-11-5-10-4-2-3-8-9-6-7-15;100.95;105.117;[100.95-107.98]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP50 PC-1;10-12-2-7-6-3-4-9-1-5-11-13-8-14-15-10;88.56;100.052;[88.56-107.18]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP50 PC-2;3-6-5-11-8-1-13-15-7-9-2-12-14-4-10-3;97.63;101.107;[97.63-106.26]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP50 PC-3;15-12-6-9-1-8-4-3-13-5-11-14-10-2-7-15;90.42;101.532;[90.42-111.28]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP100 PC-1;15-10-4-14-5-8-12-7-11-1-13-9-2-3-6-15;98.89;105.532;[98.89-112.39]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP100 PC-2;7-14-5-10-12-2-4-6-9-3-11-1-13-8-15-7;102.56;103.507;[102.56-104.06]
CR-0 PN-10 G-10 PP-5 SM-1 MAX_STEP100 PC-3;7-12-3-6-9-11-13-1-5-8-14-15-4-2-10-7;78.52;93.0075;[78.52-103.77]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-1;6-7-15-4-10-2-3-12-14-8-1-11-5-9-13-6;83.1;93.6825;[83.1-108.04]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-2;10-4-7-11-5-6-3-15-2-12-9-13-1-8-14-10;88.16;96.615;[88.16-106.53]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-3;12-7-15-4-3-6-10-14-5-11-1-8-13-9-2-12;80.6;90.0225;[80.6-100.8]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-1;8-10-3-9-5-11-1-13-2-6-12-15-4-7-14-8;79.25;89.7425;[79.25-110.89]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-2;7-12-14-10-8-11-1-13-3-6-9-5-2-4-15-7;78.33;85.9775;[78.33-92.17]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4-12-7-9-3-6-2-15-5-13-11-1-10-14-8-4;77.13;90.1;[77.13-109.53]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-1;5-10-15-7-12-2-6-11-1-13-8-14-4-3-9-5;84.02;93.395;[84.02-97.76]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-2;5-13-11-1-10-15-4-8-7-14-2-12-6-3-9-5;73.63;88.67;[73.63-113.24]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3-6-2-1-8-13-5-11-14-15-7-12-10-4-9-3;79.62;90.7;[79.62-109.44]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-1;9-8-14-2-12-7-15-4-10-3-6-13-5-11-1-9;80.83;95.7425;[80.83-103.13]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-2;15-4-2-6-8-10-12-7-14-11-5-13-1-9-3-15;87.96;97.4175;[87.96-106.46]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP10 PC-3;9-6-14-5-11-13-2-4-7-10-1-8-12-15-3-9;102.6;107.15;[102.6-114.28]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1-5-3-9-6-2-15-11-8-10-4-12-7-14-13-1;91.04;99.72;[91.04-104.55]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1-11-13-5-6-7-15-8-14-4-10-12-2-3-9-1;76.41;90.0525;[76.41-100.84]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP50 PC-3;15-10-8-14-9-2-6-3-13-5-1-11-7-12-4-15;85.95;93.545;[85.95-103.18]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-1;10-14-12-6-3-9-2-5-1-8-11-13-4-15-7-10;83.06;95.8325;[83.06-109.43]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-2;12-7-14-10-8-13-5-11-1-15-4-9-3-6-2-12;69.25;94.2025;[69.25-104.88]
CR-0 PN-10 G-10 PP-5 SM-2 B-2 MAX_STEP100 PC-3;5-3-9-2-8-1-15-12-7-4-10-14-6-13-11-5;90.43;98.3025;[90.43-106.72]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP10 PC-1;3-2-9-6-10-12-4-7-14-11-1-8-13-5-15-3;103.18;105.2;[103.18-106.96]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP10 PC-2;2-12-10-4-14-8-5-11-9-13-1-6-3-7-15-2;83.87;100.085;[83.87-111.73]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP10 PC-3;12-2-10-15-4-5-13-11-7-14-8-1-9-6-3-12;88.85;98.8225;[88.85-113.69]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-1;10-7-4-8-11-5-13-2-3-6-9-1-14-12-15-10;87.17;95.625;[87.17-102]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-2;7-14-15-10-4-2-12-8-5-13-1-11-3-6-9-7;87.13;98.415;[87.13-108.64]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-3;8-10-4-14-15-7-6-9-5-13-2-12-3-11-1-8;84.12;94.08;[84.12-105.79]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-1;7-2-14-8-13-5-9-15-6-3-11-1-10-4-12-7;89.04;96.3275;[89.04-102.62]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-2;12-10-4-8-5-1-15-14-11-13-9-3-6-7-2-12;87.92;97.825;[87.92-108.87]
CR-0 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-3;1-3-9-5-13-8-11-6-2-7-12-14-10-15-4-1;85.71;94.45;[85.71-107.31]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;11-5-1-6-2-4-15-7-3-9-13-12-14-10-8-11;90.69;97.59;[90.69-101.28]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;7-13-15-12-14-4-10-11-1-5-9-3-6-2-8-7;99.98;104.655;[99.98-108.5]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;13-14-7-4-12-15-3-6-2-10-11-1-8-9-5-13;88.23;102.51;[88.23-109.92]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;13-1-14-4-7-8-10-15-6-3-2-12-11-5-9-13;87.62;95.155;[87.62-99.57]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;9-3-13-14-10-6-12-2-7-15-4-8-5-1-11-9;89.23;96.8325;[89.23-104.62]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;15-2-12-4-14-11-9-1-13-5-3-6-7-8-10-15;89.74;93.6675;[89.74-97.63]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1-8-14-6-2-7-12-10-15-4-9-3-13-11-5-1;78.55;84.1875;[78.55-91.65]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;6-8-10-2-15-12-7-14-4-1-11-5-13-3-9-6;85.59;88.8;[85.59-90.02]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3-6-2-13-9-11-1-5-8-7-4-14-10-15-12-3;84.86;90.1025;[84.86-93.24]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;9-3-10-2-15-12-14-4-7-8-1-5-13-11-6-9;86.56;98.33;[86.56-107.41]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3-8-11-13-5-6-12-15-4-1-14-7-10-2-9-3;97.36;101.545;[97.36-103.32]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4-14-5-13-1-11-6-8-15-10-7-2-9-3-12-4;99.08;101.855;[99.08-103.92]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;12-7-15-2-9-5-1-14-4-10-8-13-11-3-6-12;80.86;89.8825;[80.86-94.83]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;12-7-4-15-14-3-10-1-13-5-11-8-9-6-2-12;85.93;93.07;[85.93-98.6]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4-1-5-9-3-2-6-12-13-11-8-15-10-7-14-4;90.77;94.075;[90.77-100.15]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1-5-13-15-7-2-9-3-6-4-12-10-14-8-11-1;78.09;87.355;[78.09-94.4]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;6-8-13-7-4-3-9-5-11-1-14-10-15-12-2-6;87.3;90.235;[87.3-92.38]
CR-0 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;14-1-8-5-13-3-9-6-11-7-12-2-4-15-10-14;89.07;95.895;[89.07-101.3]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;12-10-8-5-13-11-1-9-6-7-15-3-2-14-4-12;86.29;99.8425;[86.29-111.33]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;5-13-11-9-3-2-4-15-8-7-12-6-14-1-10-5;97.93;104.147;[97.93-113.2]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;13-11-2-8-9-5-3-6-10-14-15-12-4-7-1-13;99.26;104.925;[99.26-111.82]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;3-7-2-12-10-4-13-1-8-15-14-11-5-9-6-3;88.92;98.6975;[88.92-106.47]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;11-13-9-14-8-3-12-10-4-15-2-7-6-5-1-11;96.87;101.302;[96.87-109.78]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;11-3-9-8-1-15-4-7-12-6-2-10-14-13-5-11;84.83;95.445;[84.83-101.85]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;2-12-6-3-5-11-4-10-8-1-9-13-14-7-15-2;90.39;98.4625;[90.39-106.42]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-2;2-15-9-11-5-13-12-4-7-14-10-8-1-6-3-2;89.5;95.8725;[89.5-102.02]
CR-0 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-3;15-11-5-8-14-10-4-3-9-13-1-6-2-12-7-15;84.15;93.1575;[84.15-105.67]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;11-5-9-3-2-14-12-15-10-4-13-8-1-7-6-11;101.09;104.202;[101.09-107.39]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;11-3-14-7-15-4-10-12-6-9-5-2-8-1-13-11;94.96;102.537;[94.96-109.1]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;3-6-2-7-10-9-11-8-5-1-13-14-15-12-4-3;95.9;101.295;[95.9-106.59]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;4-11-7-8-10-2-6-3-9-5-13-1-14-15-12-4;90.84;94.595;[90.84-99.07]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;4-14-12-2-3-6-7-10-13-5-9-11-1-8-15-4;78.68;89.4575;[78.68-98.85]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;13-3-6-9-2-4-7-15-12-14-10-1-8-5-11-13;77.74;91.845;[77.74-99.36]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;2-12-15-4-3-6-13-9-5-11-1-14-10-8-7-2;81.57;88.02;[81.57-93.34]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;11-5-9-3-13-6-2-7-15-12-14-4-10-1-8-11;80.63;90.475;[80.63-97.2]
CR-0 PN-30 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;9-1-13-14-10-8-11-5-12-7-4-15-2-6-3-9;78.64;90.925;[78.64-95.24]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;9-11-8-3-6-2-4-7-14-10-12-15-5-13-1-9;88;99.3225;[88-109.13]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;10-2-3-6-11-5-14-4-15-12-7-13-1-9-8-10;101.3;104.045;[101.3-107.65]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;1-11-13-15-12-2-3-9-5-4-14-10-7-6-8-1;87.54;99.08;[87.54-109.84]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;10-14-1-12-2-6-15-7-4-5-13-11-9-3-8-10;89.76;92.61;[89.76-96.42]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;3-13-1-11-5-9-6-14-12-8-10-15-7-4-2-3;87.74;93.3075;[87.74-97.71]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;9-1-10-14-13-11-5-8-12-7-4-15-2-6-3-9;77.79;86.855;[77.79-97.73]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;6-2-12-14-8-9-13-5-11-1-7-15-10-4-3-6;78.07;82.585;[78.07-84.88]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;11-9-6-3-2-15-4-12-7-14-10-8-1-13-5-11;61.74;76.12;[61.74-88.66]
CR-0 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;7-2-6-3-1-11-5-9-13-8-4-14-10-15-12-7;70.54;76.0375;[70.54-82.06]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-1;11-1-10-7-14-8-3-6-2-12-15-4-13-9-5-11;82.34;99.88;[82.34-110.59]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-2;3-10-4-7-12-2-6-15-14-9-8-1-13-11-5-3;86.61;98.6675;[86.61-109.79]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-3;6-9-3-1-8-11-13-5-15-2-7-12-4-10-14-6;81.72;96.5175;[81.72-114.12]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP50 PC-1;14-11-5-13-1-6-3-4-10-15-2-7-12-9-8-14;93.45;95.57;[93.45-98.83]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP50 PC-2;14-4-10-5-13-3-9-11-6-12-2-15-7-1-8-14;93.58;99.23;[93.58-105.05]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP50 PC-3;7-15-10-14-8-11-1-2-12-5-9-6-3-13-4-7;92.82;95.245;[92.82-98.8]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP100 PC-1;13-5-9-11-3-6-2-7-4-1-14-10-15-12-8-13;85.28;93.535;[85.28-96.67]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP100 PC-2;6-3-1-11-13-7-2-12-10-4-15-14-8-5-9-6;81.95;100.792;[81.95-112.45]
CR-0 PN-30 G-1 PP-15 SM-1 MAX_STEP100 PC-3;1-11-5-9-6-3-13-12-7-8-10-4-14-15-2-1;91.87;100.592;[91.87-111.67]
